session_id,user_id,user_type,start_hour,duration_minutes,late_night,avg_load,max_load,load_variance,has_quiz,quiz_score,message_count,whiteboard_actions,burnout_risk,performance
0,36,intermediate,23,110,1,0.86,0.98,0.0046,1,42.02,28,30,medium,D
1,186,advanced,16,201,0,0.51,0.58,0.0011,1,81.73,0,10,low,A
2,90,advanced,8,111,0,0.61,0.68,0.0011,1,70.78,23,15,low,B
3,195,advanced,9,240,0,0.24,0.32,0.0015,1,82.32,25,5,low,A
4,7,intermediate,18,65,0,0.44,0.52,0.0046,1,53.62,36,3,low,C
5,62,beginner,13,188,0,0.49,1.0,0.0418,0,,41,19,low,B
6,137,advanced,6,240,0,0.74,0.8,0.0011,0,,0,24,medium,B
7,180,advanced,8,45,0,0.48,0.54,0.0014,1,89.49,26,22,low,A
8,164,intermediate,10,122,0,0.87,1.0,0.0083,1,55.88,15,24,low,C
9,5,beginner,17,155,0,0.48,0.87,0.0317,0,,30,2,low,C
10,194,intermediate,6,26,0,0.84,0.97,0.0046,1,38.66,15,20,low,D
11,137,advanced,15,93,0,0.31,0.38,0.0011,1,81.6,1,29,low,A
12,172,beginner,7,169,0,0.66,1.0,0.017,0,,21,7,low,B
13,7,intermediate,16,31,0,0.59,0.7,0.0062,0,,14,18,low,C
14,121,beginner,20,92,0,0.85,1.0,0.0366,1,-7.59,23,0,low,D
15,23,intermediate,15,132,0,0.67,0.85,0.0093,0,,11,8,low,B
16,151,advanced,22,122,0,0.77,0.88,0.0021,1,61.82,40,25,low,C
17,123,advanced,8,47,0,0.45,0.55,0.0044,1,89.78,3,9,low,A
18,11,intermediate,16,30,0,0.74,0.8,0.003,1,40.06,2,20,low,D
19,165,advanced,6,66,0,0.48,0.55,0.0023,0,,40,10,low,A
20,108,intermediate,6,152,0,0.35,0.45,0.0035,1,50.11,4,29,low,C
21,37,advanced,11,206,0,0.55,0.61,0.0012,1,62.03,37,16,low,C
22,150,advanced,17,189,0,0.45,0.54,0.0013,0,,39,0,low,B
23,21,intermediate,21,73,0,0.85,0.97,0.0044,1,33.98,14,11,low,D
24,1,advanced,17,115,0,0.71,0.81,0.0037,1,84.89,32,12,low,A
25,40,advanced,12,172,0,0.79,0.86,0.0012,1,68.83,23,13,low,B
26,178,beginner,8,55,0,0.58,0.96,0.0242,1,25.97,28,17,low,D
27,134,beginner,11,17,0,0.48,0.62,0.0099,0,,28,25,low,D
28,4,advanced,10,99,0,0.7,0.79,0.002,1,49.89,1,3,low,D
29,151,advanced,22,111,0,0.56,0.64,0.0012,0,,6,20,low,B
30,54,intermediate,9,48,0,0.72,0.8,0.005,1,37.63,5,0,low,D
31,36,intermediate,20,86,0,0.32,0.46,0.006,0,,15,0,low,C
32,142,intermediate,14,185,0,0.75,0.89,0.0055,1,56.27,17,19,medium,C
33,177,intermediate,18,162,0,0.56,0.79,0.0199,1,52.98,42,18,low,C
34,122,intermediate,10,71,0,0.37,0.59,0.0073,1,59.72,33,11,low,C
35,34,advanced,8,155,0,0.69,0.77,0.0015,1,55.97,19,4,low,C
36,59,advanced,8,22,0,0.45,0.51,0.0012,1,54.24,12,1,low,C
37,165,advanced,9,238,0,0.57,0.63,0.0011,1,61.72,20,9,low,C
38,79,beginner,23,153,1,0.8,1.0,0.0348,1,18.67,15,28,medium,D
39,48,intermediate,8,164,0,0.38,0.63,0.015,0,,47,5,low,B
40,180,advanced,13,137,0,0.51,0.61,0.0023,1,69.77,23,5,low,B
41,37,advanced,8,173,0,0.74,0.81,0.0012,0,,12,9,low,A
42,25,advanced,13,170,0,0.28,0.35,0.0012,1,65.43,21,30,low,B
43,89,advanced,13,239,0,0.41,0.5,0.0013,1,73.79,12,21,low,B
44,170,advanced,11,31,0,0.63,0.67,0.0008,0,,13,1,low,B
45,77,advanced,18,141,0,0.73,0.81,0.0012,1,76.51,44,3,low,B
46,149,advanced,9,184,0,0.79,0.86,0.0015,0,,35,13,medium,A
47,75,beginner,13,170,0,0.83,1.0,0.0127,0,,47,18,low,B
48,6,intermediate,8,68,0,0.7,0.86,0.0043,1,42.5,33,25,low,D
49,56,advanced,21,99,0,0.64,0.7,0.001,1,58.74,41,1,low,C
50,83,advanced,23,126,1,0.57,0.66,0.0024,0,,25,27,low,B
51,2,beginner,6,168,0,0.53,0.89,0.0268,1,19.48,24,25,low,D
52,26,advanced,15,200,0,0.45,0.53,0.0017,0,,8,14,low,A
53,95,beginner,18,42,0,0.87,1.0,0.0107,0,,38,25,low,C
54,87,beginner,7,166,0,0.82,1.0,0.0249,1,-2.82,35,7,low,D
55,62,beginner,9,206,0,0.87,1.0,0.0132,1,12.1,45,27,medium,D
56,26,advanced,8,143,0,0.74,0.86,0.002,1,57.74,9,5,low,C
57,195,advanced,22,189,0,0.84,0.9,0.001,1,50.2,49,20,medium,C
58,183,intermediate,13,197,0,0.84,0.97,0.0045,1,31.87,25,14,medium,D
59,65,beginner,8,27,0,0.7,1.0,0.0429,1,5.17,9,10,low,D
60,109,intermediate,12,111,0,0.37,0.58,0.0103,1,46.64,23,29,low,D
61,163,beginner,21,190,0,0.76,1.0,0.0264,0,,2,5,medium,C
62,80,advanced,16,63,0,0.8,0.88,0.0024,1,72.75,17,26,low,B
63,76,beginner,20,207,0,0.89,1.0,0.0154,1,0.14,49,16,medium,D
64,125,advanced,13,226,0,0.6,0.68,0.0022,1,93.93,48,1,low,A
65,40,advanced,12,192,0,0.61,0.68,0.0012,1,53.33,44,29,low,C
66,188,beginner,14,107,0,0.85,1.0,0.0151,0,,26,7,low,C
67,29,beginner,18,29,0,0.57,0.78,0.0198,0,,46,5,low,B
68,44,intermediate,10,74,0,0.49,0.63,0.0065,1,48.84,48,11,low,D
69,123,advanced,15,133,0,0.49,0.57,0.0019,0,,18,30,low,B
70,152,advanced,8,204,0,0.26,0.35,0.0016,1,89.61,29,3,low,A
71,168,beginner,11,189,0,0.68,1.0,0.038,0,,4,24,low,B
72,65,beginner,6,54,0,0.59,0.86,0.0502,1,18.48,17,10,low,D
73,31,beginner,15,27,0,0.46,0.78,0.0315,0,,46,19,low,D
74,108,intermediate,13,75,0,0.79,0.92,0.0048,1,39.26,7,9,low,D
75,55,beginner,11,196,0,0.84,1.0,0.0153,1,34.3,5,28,medium,D
76,40,advanced,13,72,0,0.55,0.69,0.0051,0,,25,3,low,A
77,148,advanced,18,97,0,0.6,0.68,0.0017,1,87.09,19,23,low,A
78,125,advanced,9,51,0,0.61,0.68,0.0012,1,73.91,20,10,low,B
79,9,beginner,22,195,0,0.87,1.0,0.0097,0,,9,30,medium,C
80,93,beginner,6,128,0,0.33,0.75,0.0325,0,,49,12,low,B
81,9,beginner,20,122,0,0.93,1.0,0.0115,1,11.36,50,4,low,D
82,17,advanced,9,171,0,0.56,0.62,0.0011,0,,48,20,low,A
83,174,advanced,15,81,0,0.65,0.72,0.0013,1,66.38,37,13,low,B
84,155,beginner,23,40,1,0.57,0.76,0.0209,1,5.03,15,0,low,D
85,126,advanced,19,78,0,0.34,0.39,0.0009,1,76.38,47,8,low,B
86,8,beginner,12,128,0,0.76,1.0,0.0222,1,1.63,20,1,low,D
87,170,advanced,8,17,0,0.39,0.44,0.0021,1,77.83,38,30,low,B
88,180,advanced,21,197,0,0.54,0.62,0.0014,1,78.95,4,0,low,B
89,45,beginner,7,147,0,0.59,1.0,0.0373,0,,32,15,low,D
90,60,beginner,21,21,0,0.49,0.59,0.0109,1,2.35,44,17,low,D
91,190,advanced,9,189,0,0.29,0.37,0.0017,0,,43,2,low,A
92,138,advanced,16,226,0,0.76,0.82,0.0011,1,57.53,6,19,medium,C
93,66,beginner,17,71,0,0.78,1.0,0.0324,1,35.33,13,19,low,D
94,34,advanced,7,196,0,0.41,0.48,0.001,0,,43,22,low,C
95,199,beginner,19,142,0,0.78,0.94,0.0113,1,29.08,15,30,low,D
96,157,beginner,7,60,0,0.65,0.85,0.0148,1,27.15,36,18,low,D
97,112,intermediate,15,95,0,0.42,0.64,0.0121,0,,25,4,low,C
98,65,beginner,14,56,0,0.9,1.0,0.0106,1,7.32,30,12,low,D
99,67,advanced,11,197,0,0.44,0.55,0.0016,0,,22,14,low,A
100,25,advanced,9,152,0,0.76,0.83,0.0013,1,63.01,21,18,low,C
101,70,advanced,9,45,0,0.76,0.83,0.0012,1,48.96,32,2,low,D
102,185,intermediate,22,55,0,0.8,0.9,0.0069,1,28.05,12,0,low,D
103,51,beginner,23,148,1,0.54,0.92,0.0373,1,16.9,36,11,low,D
104,48,intermediate,22,218,0,0.84,1.0,0.0071,1,31.45,27,17,medium,D
105,195,advanced,12,223,0,0.38,0.44,0.001,1,57.99,24,4,low,C
106,174,advanced,18,60,0,0.47,0.52,0.0015,1,92.92,19,14,low,A
107,169,beginner,21,155,0,0.44,0.77,0.0248,0,,41,7,low,C
108,191,beginner,7,170,0,0.54,0.79,0.0225,1,15.94,7,1,low,D
109,74,advanced,19,172,0,0.56,0.62,0.0011,0,,2,11,low,A
110,174,advanced,16,31,0,0.31,0.4,0.0046,1,72.15,44,8,low,B
111,10,intermediate,12,112,0,0.54,0.73,0.0108,1,36.95,33,26,low,D
112,99,advanced,23,161,1,0.72,0.77,0.0011,0,,12,23,medium,A
113,8,beginner,14,28,0,0.63,0.93,0.0346,0,,3,1,low,D
114,164,intermediate,20,122,0,0.7,0.82,0.0054,1,41.28,45,14,low,D
115,122,intermediate,23,70,1,0.71,0.91,0.0107,1,31.95,35,8,medium,D
116,80,advanced,17,120,0,0.44,0.49,0.0009,1,79.15,15,10,low,B
117,51,beginner,14,151,0,0.59,0.82,0.0151,1,29.54,44,12,low,D
118,13,beginner,15,155,0,0.36,0.57,0.0113,1,29.34,17,9,low,D
119,97,intermediate,17,108,0,0.59,0.77,0.0141,0,,29,5,low,D
120,21,intermediate,22,105,0,0.62,0.8,0.0075,1,29.1,6,15,low,D
121,124,intermediate,9,230,0,0.7,0.91,0.0062,1,20.05,47,0,low,D
122,95,beginner,10,127,0,0.6,0.77,0.0115,1,30.45,31,27,low,D
123,109,intermediate,10,103,0,0.65,0.8,0.0076,1,31.11,43,20,low,D
124,182,advanced,8,38,0,0.68,0.74,0.0016,1,62.46,16,15,low,C
125,129,advanced,14,109,0,0.57,0.62,0.0009,1,70.02,16,13,low,B
126,94,advanced,7,125,0,0.78,0.84,0.0016,1,88.83,37,25,low,A
127,108,intermediate,19,225,0,0.33,0.48,0.0038,1,56.62,21,22,low,C
128,28,advanced,15,106,0,0.42,0.48,0.0013,1,61.11,19,14,low,C
129,127,beginner,10,191,0,0.44,0.82,0.0432,1,23.78,46,28,low,D
130,76,beginner,14,122,0,0.72,1.0,0.0151,1,0.74,21,8,low,D
131,138,advanced,11,50,0,0.72,0.76,0.0009,1,62.85,7,27,low,C
132,101,beginner,11,85,0,0.9,1.0,0.0116,1,-2.98,38,4,low,D
133,84,beginner,11,62,0,0.76,0.99,0.0195,1,-3.26,28,21,low,D
134,80,advanced,23,207,1,0.54,0.64,0.0019,0,,10,16,medium,A
135,177,intermediate,18,148,0,0.8,0.94,0.0043,1,24.95,29,30,low,D
136,51,beginner,20,209,0,0.82,1.0,0.0286,1,18.76,2,3,medium,D
137,136,intermediate,12,157,0,0.42,0.63,0.011,0,,6,11,low,B
138,112,intermediate,7,189,0,0.86,1.0,0.0093,1,46.97,22,29,medium,D
139,40,advanced,13,33,0,0.41,0.47,0.0018,0,,11,17,low,A
140,139,advanced,18,170,0,0.34,0.39,0.0012,0,,23,25,low,A
141,111,intermediate,12,126,0,0.7,0.91,0.0148,1,43.69,29,8,low,D
142,168,beginner,6,129,0,0.68,0.91,0.0123,1,-1.59,37,7,low,D
143,84,beginner,20,212,0,0.79,1.0,0.0116,1,-8.99,41,26,medium,D
144,119,beginner,10,132,0,0.8,0.94,0.0094,1,22.17,43,21,low,D
145,44,intermediate,8,184,0,0.42,0.6,0.0065,1,30.12,49,15,low,D
146,156,intermediate,21,203,0,0.83,0.99,0.0066,1,51.22,43,5,medium,C
147,168,beginner,6,66,0,0.41,0.64,0.0248,1,7.18,44,10,low,D
148,120,advanced,8,24,0,0.33,0.38,0.0013,1,85.19,46,23,low,A
149,83,advanced,20,95,0,0.64,0.72,0.0024,1,87.06,28,2,low,A
150,147,beginner,20,116,0,0.83,1.0,0.0113,1,14.23,32,27,low,D
151,49,advanced,6,42,0,0.49,0.55,0.0011,1,72.54,14,6,low,B
152,13,beginner,11,154,0,0.71,1.0,0.0315,1,-8.63,16,6,low,D
153,190,advanced,14,225,0,0.61,0.7,0.001,1,81.67,25,6,low,A
154,199,beginner,15,105,0,0.4,0.77,0.0369,1,13.82,46,15,low,D
155,47,beginner,17,40,0,0.71,0.96,0.0187,1,19.15,16,14,low,D
156,104,advanced,22,106,0,0.84,0.92,0.0027,1,70.01,12,28,low,B
157,187,beginner,19,114,0,0.62,0.95,0.0171,1,22.95,4,18,low,D
158,120,advanced,11,84,0,0.31,0.39,0.0036,1,73.76,23,10,low,B
159,20,advanced,22,26,0,0.36,0.42,0.0015,0,,33,26,low,B
160,136,intermediate,7,31,0,0.31,0.45,0.0054,1,35.52,20,5,low,D
161,37,advanced,23,140,1,0.45,0.52,0.0012,1,62.82,32,10,low,C
162,60,beginner,15,202,0,0.72,1.0,0.0428,0,,26,0,medium,D
163,27,beginner,8,192,0,0.84,1.0,0.0212,1,-4.33,43,7,medium,D
164,184,beginner,12,80,0,0.86,1.0,0.0073,0,,33,6,low,C
165,19,beginner,19,238,0,0.88,1.0,0.0186,0,,40,26,medium,B
166,168,beginner,9,100,0,0.79,1.0,0.027,1,5.63,28,1,low,D
167,179,intermediate,7,240,0,0.51,0.77,0.0121,1,62.36,12,21,low,C
168,27,beginner,12,226,0,0.52,0.89,0.0154,1,12.12,45,27,low,D
169,193,advanced,10,173,0,0.27,0.35,0.0021,1,66.59,25,23,low,B
170,151,advanced,22,81,0,0.68,0.77,0.0013,1,64.32,45,13,low,C
